Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_30_181,VPWR,li1,89.0100,95.2000,1.800000
FILLER_30_169,VPWR,li1,86.0200,95.2000,1.800000
FILLER_30_165,VPWR,li1,82.1100,95.2000,1.800000
FILLER_30_153,VPWR,li1,78.6600,95.2000,1.800000
FILLER_30_141,VPWR,li1,73.1400,95.2000,1.800000
FILLER_30_139,VPWR,li1,69.6900,95.2000,1.800000
FILLER_30_131,VPWR,li1,67.6200,95.2000,1.800000
FILLER_30_119,VPWR,li1,63.0200,95.2000,1.800000
FILLER_30_113,VPWR,li1,57.9600,95.2000,1.800000
FILLER_30_107,VPWR,li1,54.9700,95.2000,1.800000
FILLER_30_103,VPWR,li1,53.8200,95.2000,1.800000
FILLER_30_91,VPWR,li1,50.1400,95.2000,1.800000
FILLER_30_85,VPWR,li1,45.0800,95.2000,1.800000
FILLER_30_77,VPWR,li1,41.6300,95.2000,1.800000
FILLER_30_69,VPWR,li1,39.1000,95.2000,1.800000
FILLER_30_57,VPWR,li1,34.5000,95.2000,1.800000
FILLER_30_53,VPWR,li1,30.5900,95.2000,1.800000
FILLER_30_41,VPWR,li1,27.1400,95.2000,1.800000
FILLER_30_29,VPWR,li1,21.6200,95.2000,1.800000
FILLER_30_27,VPWR,li1,18.1700,95.2000,1.800000
FILLER_30_15,VPWR,li1,15.1800,95.2000,1.800000
FILLER_30_3,VPWR,li1,9.6600,95.2000,1.800000
FILLER_29_181,VPWR,li1,89.0100,89.7600,1.800000
FILLER_29_169,VPWR,li1,86.0200,89.7600,1.800000
FILLER_29_167,VPWR,li1,82.5700,89.7600,1.800000
FILLER_29_161,VPWR,li1,80.9600,89.7600,1.800000
FILLER_29_149,VPWR,li1,76.8200,89.7600,1.800000
FILLER_29_137,VPWR,li1,71.3000,89.7600,1.800000
FILLER_29_125,VPWR,li1,65.7800,89.7600,1.800000
FILLER_29_113,VPWR,li1,60.2600,89.7600,1.800000
FILLER_29_111,VPWR,li1,56.8100,89.7600,1.800000
FILLER_29_105,VPWR,li1,55.2000,89.7600,1.800000
FILLER_29_93,VPWR,li1,51.0600,89.7600,1.800000
FILLER_29_81,VPWR,li1,45.5400,89.7600,1.800000
FILLER_29_69,VPWR,li1,40.0200,89.7600,1.800000
FILLER_29_57,VPWR,li1,34.5000,89.7600,1.800000
FILLER_29_55,VPWR,li1,31.0500,89.7600,1.800000
FILLER_29_51,VPWR,li1,29.9000,89.7600,1.800000
FILLER_29_39,VPWR,li1,26.2200,89.7600,1.800000
FILLER_29_27,VPWR,li1,20.7000,89.7600,1.800000
FILLER_29_15,VPWR,li1,15.1800,89.7600,1.800000
FILLER_29_3,VPWR,li1,9.6600,89.7600,1.800000
FILLER_28_181,VPWR,li1,89.0100,89.7600,1.800000
FILLER_28_177,VPWR,li1,87.8600,89.7600,1.800000
FILLER_28_165,VPWR,li1,84.1800,89.7600,1.800000
FILLER_28_153,VPWR,li1,78.6600,89.7600,1.800000
FILLER_28_141,VPWR,li1,73.1400,89.7600,1.800000
FILLER_28_139,VPWR,li1,69.6900,89.7600,1.800000
FILLER_28_133,VPWR,li1,68.0800,89.7600,1.800000
FILLER_28_121,VPWR,li1,63.9400,89.7600,1.800000
FILLER_28_109,VPWR,li1,58.4200,89.7600,1.800000
FILLER_28_97,VPWR,li1,52.9000,89.7600,1.800000
FILLER_28_85,VPWR,li1,47.3800,89.7600,1.800000
FILLER_28_83,VPWR,li1,43.9300,89.7600,1.800000
FILLER_28_77,VPWR,li1,42.3200,89.7600,1.800000
FILLER_28_65,VPWR,li1,38.1800,89.7600,1.800000
FILLER_28_53,VPWR,li1,32.6600,89.7600,1.800000
FILLER_28_41,VPWR,li1,27.1400,89.7600,1.800000
FILLER_28_29,VPWR,li1,21.6200,89.7600,1.800000
FILLER_28_27,VPWR,li1,18.1700,89.7600,1.800000
FILLER_28_15,VPWR,li1,15.1800,89.7600,1.800000
FILLER_28_3,VPWR,li1,9.6600,89.7600,1.800000
FILLER_27_181,VPWR,li1,89.0100,84.3200,1.800000
FILLER_27_169,VPWR,li1,86.0200,84.3200,1.800000
FILLER_27_167,VPWR,li1,82.5700,84.3200,1.800000
FILLER_27_161,VPWR,li1,80.9600,84.3200,1.800000
FILLER_27_149,VPWR,li1,76.8200,84.3200,1.800000
FILLER_27_137,VPWR,li1,71.3000,84.3200,1.800000
FILLER_27_125,VPWR,li1,65.7800,84.3200,1.800000
FILLER_27_113,VPWR,li1,60.2600,84.3200,1.800000
FILLER_27_111,VPWR,li1,56.8100,84.3200,1.800000
FILLER_27_105,VPWR,li1,55.2000,84.3200,1.800000
FILLER_27_93,VPWR,li1,51.0600,84.3200,1.800000
FILLER_27_81,VPWR,li1,45.5400,84.3200,1.800000
FILLER_27_69,VPWR,li1,40.0200,84.3200,1.800000
FILLER_27_57,VPWR,li1,34.5000,84.3200,1.800000
FILLER_27_55,VPWR,li1,31.0500,84.3200,1.800000
FILLER_27_51,VPWR,li1,29.9000,84.3200,1.800000
FILLER_27_39,VPWR,li1,26.2200,84.3200,1.800000
FILLER_27_27,VPWR,li1,20.7000,84.3200,1.800000
FILLER_27_15,VPWR,li1,15.1800,84.3200,1.800000
FILLER_27_3,VPWR,li1,9.6600,84.3200,1.800000
FILLER_26_181,VPWR,li1,89.0100,84.3200,1.800000
FILLER_26_177,VPWR,li1,87.8600,84.3200,1.800000
FILLER_26_165,VPWR,li1,84.1800,84.3200,1.800000
