net,length_um
_16_,61.25µm
net10,50.42µm
_20_,41.68µm
net9,38.5µm
net17,33.4µm
net20,31.68µm
clknet_1_0__leaf_clk,31.28µm
clknet_0_clk,28.5µm
clknet_1_1__leaf_clk,28.48µm
eth_data_in[7],28.39µm
_21_,28.28µm
net19,26.64µm
eth_data_in[4],26.43µm
net8,24.8µm
_22_,23.44µm
net4,23.22µm
phy_data_out[8],22.07µm
net3,21.88µm
_18_,20.42µm
eth_valid_in,19.5µm
eth_data_in[5],18.25µm
clk,18.23µm
net11,17.98µm
net1,17.82µm
_01_,14.93µm
u_pcs.rd_pos,14.72µm
eth_data_in[1],14.7µm
eth_data_in[6],14.67µm
eth_data_in[0],14.44µm
phy_valid_out,14.15µm
_07_,14.03µm
phy_data_out[6],12.65µm
net15,12.5µm
net13,12.18µm
net28,11.84µm
phy_data_out[1],11.29µm
eth_data_in[2],11.22µm
phy_data_out[5],11µm
phy_data_out[7],11µm
phy_data_out[2],10.77µm
_05_,10.51µm
_25_,10.4µm
eth_data_in[3],10.23µm
net21,10.2µm
net2,9.98µm
_08_,9.92µm
net5,9.08µm
net25,9.06µm
phy_data_out[4],8.05µm
net6,7.6µm
rst,7.59µm
net14,6.72µm
net18,6.08µm
_19_,5.96µm
phy_data_out[9],5.75µm
_15_,5.62µm
_09_,5.56µm
_04_,5.53µm
_11_,5.46µm
net12,5.38µm
net27,5.38µm
_06_,5.1µm
phy_data_out[0],5.07µm
phy_data_out[3],5.07µm
net26,4.94µm
_03_,4.87µm
net7,4.68µm
_13_,4.12µm
net23,4.02µm
_14_,4µm
_24_,4µm
net16,3.9µm
_10_,3.66µm
_17_,3.2µm
_23_,3.18µm
net22,2.5µm
_00_,2.21µm
_12_,2.18µm
_02_,1.82µm
_26_,1.82µm
net24,1.38µm
